survived,pclass,sex,age,sibsp,parch,fare,embarked,alone,age_years,fare_dollars,family_size,fare_per_person,age_group,fare_tier,age_old,large_family,risk_score,actual_risk,age_survival_rate
0,3,1,-0.5510595194824087,1,0,-0.5275147920390659,2,0,22.0,7.25,2,3.625,Young Adult,Very Low,0,0,1.327,1,0.3803680981595092
1,1,0,0.6119446643175359,1,0,0.6950862020362649,0,0,38.0,71.2833,2,35.64165,Adult,High,0,0,0.3,0,0.45535714285714285
1,3,0,-0.26030847353242254,0,0,-0.5146268779224914,2,1,26.0,7.925,1,7.925,Young Adult,Very Low,0,0,0.8999999999999999,0,0.38976377952755903
1,1,0,0.3938813798550463,1,0,0.34790870758306697,2,0,35.0,53.1,2,26.55,Young Adult,High,0,0,0.3,0,0.45535714285714285
0,3,1,0.3938813798550463,0,0,-0.5122402271601628,2,1,35.0,8.05,1,8.05,Young Adult,Very Low,0,0,1.327,1,0.45535714285714285
0,3,1,-0.11493295055742946,0,0,-0.5044444711100926,1,1,28.0,8.4583,1,8.4583,Young Adult,Very Low,0,0,1.327,1,0.38976377952755903
0,1,1,1.7749488481174804,0,0,0.3242808650360137,2,1,54.0,51.8625,1,51.8625,Adult,High,1,0,0.727,1,0.45454545454545453
0,3,1,-2.0048147492323394,3,1,-0.26355121772552204,2,0,2.0,21.075,5,4.215,Child,Medium,0,0,1.327,1,0.660377358490566
1,3,0,-0.18762071204492597,0,2,-0.45337014479626053,2,0,27.0,11.1333,3,3.7111,Young Adult,Low,0,0,0.8999999999999999,0,0.38976377952755903
1,2,0,-1.1325616113823809,1,0,-0.09179255430347663,0,0,14.0,30.0708,2,15.0354,Teen,Medium,0,0,0.6,0,0.41304347826086957
1,3,0,-1.8594392262573463,1,1,-0.34708399440702326,2,0,4.0,16.7,3,5.566666666666666,Child,Low,0,0,0.8999999999999999,0,0.660377358490566
1,1,0,2.0656998940674667,0,0,-0.15901591433552906,2,1,58.0,26.55,1,26.55,Adult,Medium,1,0,0.3,0,0.391304347826087
0,3,1,-0.6964350424574017,0,0,-0.5122402271601628,2,1,20.0,8.05,1,8.05,Young Adult,Very Low,0,0,1.327,1,0.3803680981595092
0,3,1,0.6846324258050325,1,5,-0.06880051551950776,2,0,39.0,31.275,7,4.4678571428571425,Adult,Medium,0,1,1.539,1,0.45535714285714285
0,3,0,-1.1325616113823809,0,0,-0.5159786769142743,2,1,14.0,7.8542,1,7.8542,Teen,Very Low,0,0,0.8999999999999999,1,0.41304347826086957
1,2,0,1.847636609604977,0,0,-0.36044923867606343,2,1,55.0,16.0,1,16.0,Adult,Low,1,0,0.6,0,0.45454545454545453
0,3,1,-2.0048147492323394,4,1,-0.10985090863155976,1,0,2.0,29.125,6,4.854166666666667,Child,Medium,0,1,1.539,1,0.660377358490566
1,2,1,-0.11493295055742946,0,0,-0.41772885697195,2,1,28.0,13.0,1,13.0,Young Adult,Low,0,0,1.027,0,0.38976377952755903
0,3,0,0.10313033390506016,1,0,-0.3222628264788057,2,0,31.0,18.0,2,9.0,Young Adult,Low,0,0,0.8999999999999999,1,0.38976377952755903
1,3,0,-0.11493295055742946,0,0,-0.5279921221915316,0,1,28.0,7.225,1,7.225,Young Adult,Very Low,0,0,0.8999999999999999,0,0.38976377952755903
0,2,1,0.3938813798550463,0,0,-0.16951717768977492,2,1,35.0,26.0,1,26.0,Young Adult,Medium,0,0,1.027,1,0.45535714285714285
1,2,1,0.3211936183675498,0,0,-0.41772885697195,2,1,34.0,13.0,1,13.0,Young Adult,Low,0,0,1.027,0,0.45535714285714285
1,3,0,-1.0598738498948845,0,0,-0.5126373658470144,1,1,15.0,8.0292,1,8.0292,Teen,Very Low,0,0,0.8999999999999999,0,0.41304347826086957
1,1,1,-0.11493295055742946,0,0,0.011868280247199164,2,1,28.0,35.5,1,35.5,Young Adult,Medium,0,0,0.727,0,0.38976377952755903
0,3,0,-1.5686881803073602,3,1,-0.26355121772552204,2,0,8.0,21.075,5,4.215,Child,Medium,0,0,0.8999999999999999,1,0.660377358490566
1,3,0,0.6119446643175359,1,5,-0.06665252983341201,2,0,38.0,31.3875,7,4.483928571428572,Adult,Medium,0,1,1.1119999999999999,0,0.45535714285714285
0,3,1,-0.11493295055742946,0,0,-0.5279921221915316,0,1,28.0,7.225,1,7.225,Young Adult,Very Low,0,0,1.327,1,0.38976377952755903
0,1,1,-0.7691228039448983,3,2,4.355572667685263,2,0,19.0,263.0,6,43.833333333333336,Young Adult,Very High,0,1,0.939,1,0.3803680981595092
1,3,0,-0.11493295055742946,0,0,-0.5155013467618086,1,1,28.0,7.8792,1,7.8792,Young Adult,Very Low,0,0,0.8999999999999999,0,0.38976377952755903
0,3,1,-0.11493295055742946,0,0,-0.5151843995405714,2,1,28.0,7.8958,1,7.8958,Young Adult,Very Low,0,0,1.327,1,0.38976377952755903
0,1,1,0.757320187292529,0,0,-0.13666158863525438,0,1,40.0,27.7208,1,27.7208,Adult,Medium,0,0,0.727,1,0.45535714285714285
1,1,0,-0.11493295055742946,1,0,2.131611295881853,0,0,28.0,146.5208,2,73.2604,Young Adult,Very High,0,0,0.3,0,0.38976377952755903
1,3,0,-0.11493295055742946,0,0,-0.5179681889897515,1,1,28.0,7.75,1,7.75,Young Adult,Very Low,0,0,0.8999999999999999,0,0.38976377952755903
0,2,1,2.647201985967439,0,0,-0.46546187221852214,2,1,66.0,10.5,1,10.5,Senior,Low,1,0,1.027,1,0.0
0,1,1,-0.11493295055742946,1,0,0.9029634834350866,0,0,28.0,82.1708,2,41.0854,Young Adult,High,0,0,0.727,1,0.38976377952755903
0,1,1,0.902695710267522,1,0,0.32690618087457524,2,0,42.0,52.0,2,26.0,Adult,High,0,0,0.727,1,0.34782608695652173
1,3,1,-0.11493295055742946,0,0,-0.5279119307259174,0,1,28.0,7.2292,1,7.2292,Young Adult,Very Low,0,0,1.327,0,0.38976377952755903
0,3,1,-0.6237472809699052,0,0,-0.5122402271601628,2,1,21.0,8.05,1,8.05,Young Adult,Very Low,0,0,1.327,1,0.3803680981595092
0,3,0,-0.8418105654323949,2,0,-0.3222628264788057,2,0,18.0,18.0,3,6.0,Teen,Low,0,0,0.8999999999999999,1,0.3803680981595092
1,3,0,-1.1325616113823809,1,0,-0.4513004412551691,0,0,14.0,11.2417,2,5.62085,Teen,Low,0,0,0.8999999999999999,0,0.41304347826086957
0,3,0,0.757320187292529,1,0,-0.48503240846961665,2,0,40.0,9.475,2,4.7375,Adult,Very Low,0,0,0.8999999999999999,1,0.45535714285714285
0,2,0,-0.18762071204492597,1,0,-0.2649832081829192,2,0,27.0,21.0,2,10.5,Young Adult,Medium,0,0,0.6,1,0.38976377952755903
0,3,1,-0.11493295055742946,0,0,-0.5151843995405714,0,1,28.0,7.8958,1,7.8958,Young Adult,Very Low,0,0,1.327,1,0.38976377952755903
1,2,0,-1.9321269877448428,1,2,0.1279396987619837,0,0,3.0,41.5792,4,10.3948,Child,High,0,0,0.6,0,0.660377358490566
1,3,0,-0.7691228039448983,0,0,-0.5155013467618086,1,1,19.0,7.8792,1,7.8792,Young Adult,Very Low,0,0,0.8999999999999999,0,0.3803680981595092
0,3,1,-0.11493295055742946,0,0,-0.5122402271601628,2,1,28.0,8.05,1,8.05,Young Adult,Very Low,0,0,1.327,1,0.38976377952755903
0,3,1,-0.11493295055742946,1,0,-0.36999584172537786,1,0,28.0,15.5,2,7.75,Young Adult,Low,0,0,1.327,1,0.38976377952755903
0,3,1,-0.11493295055742946,2,0,-0.25201510260073046,0,0,28.0,21.6792,3,7.226400000000001,Young Adult,Medium,0,0,1.327,1,0.38976377952755903
0,3,0,-0.8418105654323949,1,0,-0.3260814676985315,2,0,18.0,17.8,2,8.9,Teen,Low,0,0,0.8999999999999999,1,0.3803680981595092
0,3,1,-1.6413759417948568,4,1,0.09182108078520748,2,0,7.0,39.6875,6,6.614583333333333,Child,Medium,0,1,1.539,1,0.660377358490566
0,3,1,-0.6237472809699052,0,0,-0.51701352868482,2,1,21.0,7.8,1,7.8,Young Adult,Very Low,0,0,1.327,1,0.3803680981595092
1,1,0,1.4115100406799979,1,0,0.799065893128788,0,0,49.0,76.7292,2,38.3646,Adult,High,0,0,0.3,0,0.45454545454545453
1,2,0,-0.042245189069932916,1,0,-0.16951717768977492,2,0,29.0,26.0,2,13.0,Young Adult,Medium,0,0,0.6,0,0.38976377952755903
0,1,1,2.574514224479943,0,1,0.5174411031740123,0,0,65.0,61.9792,2,30.9896,Senior,High,1,0,0.727,1,0.0
1,2,0,-0.6237472809699052,0,0,-0.46546187221852214,2,1,21.0,10.5,1,10.5,Young Adult,Low,0,0,0.6,0,0.3803680981595092
0,3,1,-0.07858906981368119,0,0,-0.5279119307259174,0,1,28.5,7.2292,1,7.2292,Young Adult,Very Low,0,0,1.327,1,0.38976377952755903
1,2,0,-1.7867514647698497,1,2,-0.13610406701717442,2,0,5.0,27.75,4,6.9375,Child,Medium,0,0,0.6,0,0.660377358490566
0,3,1,-1.3506248958448706,5,2,0.22953082977156805,2,0,11.0,46.9,8,5.8625,Child,High,0,1,1.539,1,0.41304347826086957
0,3,1,-0.5510595194824087,0,0,-0.5279119307259174,0,1,22.0,7.2292,1,7.2292,Young Adult,Very Low,0,0,1.327,1,0.3803680981595092
1,1,0,0.6119446643175359,0,0,0.8615159516361831,2,1,38.0,80.0,1,80.0,Adult,High,0,0,0.3,0,0.45535714285714285
0,1,1,1.1207589947300116,1,0,0.9278648428289182,2,0,45.0,83.475,2,41.7375,Adult,High,0,0,0.727,1,0.34782608695652173
0,3,1,-1.8594392262573463,3,2,-0.13324008610238014,2,0,4.0,27.9,6,4.6499999999999995,Child,Medium,0,1,1.539,1,0.660377358490566
0,1,1,-0.11493295055742946,0,0,-0.13666158863525438,0,1,28.0,27.7208,1,27.7208,Young Adult,Medium,0,0,0.727,1,0.38976377952755903
1,3,1,-0.11493295055742946,1,1,-0.37484933471564935,0,0,28.0,15.2458,3,5.081933333333333,Young Adult,Low,0,0,1.327,0,0.38976377952755903
1,2,0,-0.042245189069932916,0,0,-0.46546187221852214,2,1,29.0,10.5,1,10.5,Young Adult,Low,0,0,0.6,0,0.38976377952755903
0,3,1,-0.7691228039448983,0,0,-0.5101724329396813,2,1,19.0,8.1583,1,8.1583,Young Adult,Very Low,0,0,1.327,1,0.3803680981595092
1,3,0,-0.9144983269198913,4,2,-0.5146268779224914,2,0,17.0,7.925,7,1.1321428571428571,Teen,Very Low,0,1,1.1119999999999999,0,0.3803680981595092
